YEAR,LOCATION,AREA HARVESTED in ACRES,AREA PLANTED in ACRES,PRODUCTION in BU,YIELD in BU / ACRE
2004,WEST VIRGINIA,18000.0,19000.0,828000.0,46.0
2004,WISCONSIN,1550000.0,1600000.0,53475000.0,34.5
2005,ALABAMA,145000.0,150000.0,4785000.0,33.0
2005,ARKANSAS,3000000.0,3030000.0,102000000.0,34.0
2005,DELAWARE,182000.0,185000.0,4732000.0,26.0
2005,FLORIDA,8000.0,9000.0,256000.0,32.0
2005,GEORGIA,175000.0,180000.0,4550000.0,26.0
2005,ILLINOIS,9450000.0,9500000.0,439425000.0,46.5
2005,INDIANA,5380000.0,5400000.0,263620000.0,49.0
2005,IOWA,10000000.0,10050000.0,525000000.0,52.5
2005,KANSAS,2850000.0,2900000.0,105450000.0,37.0
2005,KENTUCKY,1240000.0,1250000.0,53320000.0,43.0
2005,LOUISIANA,850000.0,880000.0,28900000.0,34.0
2005,MARYLAND,470000.0,480000.0,15980000.0,34.0
2005,MICHIGAN,1990000.0,2000000.0,76615000.0,38.5
2005,MINNESOTA,6800000.0,6900000.0,309400000.0,45.5
2005,MISSISSIPPI,1590000.0,1610000.0,58035000.0,36.5
2005,MISSOURI,4910000.0,4950000.0,181670000.0,37.0
2005,NEBRASKA,4660000.0,4700000.0,235330000.0,50.5
2005,NEW JERSEY,91000.0,95000.0,2548000.0,28.0
2005,NEW YORK,188000.0,190000.0,7896000.0,42.0
2005,NORTH CAROLINA,1460000.0,1490000.0,39420000.0,27.0
2005,NORTH DAKOTA,2900000.0,2950000.0,105850000.0,36.5
2005,OHIO,4480000.0,4500000.0,201600000.0,45.0
2005,OKLAHOMA,305000.0,325000.0,7930000.0,26.0
2005,PENNSYLVANIA,420000.0,430000.0,17220000.0,41.0
2005,SOUTH CAROLINA,420000.0,430000.0,8610000.0,20.5
2005,SOUTH DAKOTA,3850000.0,3900000.0,134750000.0,35.0
2005,TENNESSEE,1100000.0,1130000.0,41800000.0,38.0
2005,TEXAS,230000.0,260000.0,5980000.0,26.0
2005,VIRGINIA,510000.0,530000.0,15555000.0,30.5
2005,WEST VIRGINIA,17000.0,18000.0,595000.0,35.0
2005,WISCONSIN,1580000.0,1610000.0,69520000.0,44.0
2006,ALABAMA,150000.0,160000.0,3000000.0,20.0
2006,ARKANSAS,3070000.0,3110000.0,107450000.0,35.0
2006,DELAWARE,177000.0,180000.0,5576000.0,31.5
2006,FLORIDA,5000.0,7000.0,135000.0,27.0
2006,GEORGIA,140000.0,155000.0,3500000.0,25.0
2006,ILLINOIS,10050000.0,10100000.0,482400000.0,48.0
2006,INDIANA,5680000.0,5700000.0,284000000.0,50.0
2006,IOWA,10100000.0,10150000.0,510050000.0,50.5
2006,KANSAS,3080000.0,3150000.0,98560000.0,32.0
2006,KENTUCKY,1370000.0,1380000.0,60280000.0,44.0
2006,LOUISIANA,840000.0,870000.0,30240000.0,36.0
2006,MARYLAND,465000.0,470000.0,15810000.0,34.0
2006,MICHIGAN,1990000.0,2000000.0,91540000.0,46.0
2006,MINNESOTA,7250000.0,7350000.0,322625000.0,44.5
2006,MISSISSIPPI,1650000.0,1670000.0,42900000.0,26.0
2006,MISSOURI,5110000.0,5150000.0,194180000.0,38.0
2006,NEBRASKA,5010000.0,5050000.0,250500000.0,50.0
2006,NEW JERSEY,86000.0,88000.0,3010000.0,35.0
2006,NEW YORK,198000.0,200000.0,9108000.0,46.0
2006,NORTH CAROLINA,1360000.0,1370000.0,43520000.0,32.0
2006,NORTH DAKOTA,3870000.0,3900000.0,121905000.0,31.5
2006,OHIO,4620000.0,4650000.0,217140000.0,47.0
2006,OKLAHOMA,215000.0,310000.0,3655000.0,17.0
2006,PENNSYLVANIA,425000.0,430000.0,17000000.0,40.0
2006,SOUTH CAROLINA,390000.0,400000.0,11310000.0,29.0
2006,SOUTH DAKOTA,3850000.0,3950000.0,130900000.0,34.0
2006,TENNESSEE,1130000.0,1160000.0,44070000.0,39.0
2006,TEXAS,155000.0,225000.0,3720000.0,24.0
2006,VIRGINIA,510000.0,520000.0,15810000.0,31.0
2006,WEST VIRGINIA,16000.0,17000.0,672000.0,42.0
2006,WISCONSIN,1640000.0,1650000.0,72160000.0,44.0
2007,ALABAMA,185000.0,190000.0,3885000.0,21.0
2007,ARKANSAS,2820000.0,2850000.0,101520000.0,36.0
2007,DELAWARE,155000.0,160000.0,4030000.0,26.0
2007,FLORIDA,12000.0,14000.0,288000.0,24.0
2007,GEORGIA,285000.0,295000.0,8550000.0,30.0
2007,ILLINOIS,8280000.0,8300000.0,360180000.0,43.5
2007,INDIANA,4790000.0,4800000.0,220340000.0,46.0
2007,IOWA,8630000.0,8650000.0,448760000.0,52.0
2007,KANSAS,2610000.0,2650000.0,86130000.0,33.0
2007,KENTUCKY,1100000.0,1120000.0,30250000.0,27.5
2007,LOUISIANA,600000.0,615000.0,25800000.0,43.0
2007,MARYLAND,390000.0,405000.0,10725000.0,27.5
2007,MICHIGAN,1790000.0,1800000.0,71600000.0,40.0
2007,MINNESOTA,6290000.0,6350000.0,267325000.0,42.5
2007,MISSISSIPPI,1440000.0,1460000.0,58320000.0,40.5
2007,MISSOURI,4670000.0,4700000.0,175125000.0,37.5
2007,NEBRASKA,3850000.0,3870000.0,196350000.0,51.0
2007,NEW JERSEY,80000.0,82000.0,2480000.0,31.0
2007,NEW YORK,203000.0,205000.0,7917000.0,39.0
2007,NORTH CAROLINA,1380000.0,1440000.0,30360000.0,22.0
2007,NORTH DAKOTA,3060000.0,3100000.0,108630000.0,35.5
2007,OHIO,4240000.0,4250000.0,199280000.0,47.0
2007,OKLAHOMA,180000.0,190000.0,4680000.0,26.0
2007,PENNSYLVANIA,430000.0,435000.0,17630000.0,41.0
2007,SOUTH CAROLINA,440000.0,460000.0,8140000.0,18.5
2007,SOUTH DAKOTA,3240000.0,3250000.0,136080000.0,42.0
2007,TENNESSEE,1010000.0,1080000.0,19190000.0,19.0
2007,TEXAS,92000.0,95000.0,3450000.0,37.5
2007,VIRGINIA,500000.0,510000.0,13750000.0,27.5
2007,WEST VIRGINIA,14000.0,15000.0,462000.0,33.0
